Jab Tak Hai Jaan
mynameiskhan
My Name Is Khan
The Hobbit: The Desolation of Smaug
The Hobbit: The Battle of the Five Armies
Avengers: Age of Ultron
Kabhi Alvida Naa Kehna
Spider
Spider-Man
the dark
the haunt
the haunted
the haunting
The Haunted Mansion
2012
Sparkle
Sparkler
